,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,WebDeveloperType,CareerSatisfaction,JobSatisfaction,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,SelfTaughtTypes,CousinEducation,WorkStart,HaveWorkedFramework,WantWorkFramework,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,HighestEducationParents,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,Worked_with_Assembly,Worked_with_C,Worked_with_C#,Worked_with_C++,Worked_with_Clojure,Worked_with_CoffeeScript,Worked_with_Common Lisp,Worked_with_Dart,Worked_with_Elixir,Worked_with_Erlang,Worked_with_F#,Worked_with_Go,Worked_with_Groovy,Worked_with_Hack,Worked_with_Haskell,Worked_with_Java,Worked_with_JavaScript,Worked_with_Julia,Worked_with_Lua,Worked_with_Matlab,Worked_with_Objective-C,Worked_with_PHP,Worked_with_Perl,Worked_with_Python,Worked_with_R,Worked_with_Ruby,Worked_with_Rust,Worked_with_SQL,Worked_with_Scala,Worked_with_Smalltalk,Worked_with_Swift,Worked_with_TypeScript,Worked_with_VB.NET,Worked_with_VBA,Worked_with_Visual Basic 6,Want_work_Assembly,Want_work_C,Want_work_C#,Want_work_C++,Want_work_Clojure,Want_work_CoffeeScript,Want_work_Common Lisp,Want_work_Dart,Want_work_Elixir,Want_work_Erlang,Want_work_F#,Want_work_Go,Want_work_Groovy,Want_work_Hack,Want_work_Haskell,Want_work_Java,Want_work_JavaScript,Want_work_Julia,Want_work_Lua,Want_work_Matlab,Want_work_Objective-C,Want_work_PHP,Want_work_Perl,Want_work_Python,Want_work_R,Want_work_Ruby,Want_work_Rust,Want_work_SQL,Want_work_Scala,Want_work_Smalltalk,Want_work_Swift,Want_work_TypeScript,Want_work_VB.NET,Want_work_VBA,Want_work_Visual Basic 6,Uses_Android Studio,Uses_Atom,Uses_Coda,Uses_Eclipse,Uses_Emacs,Uses_IPython / Jupyter,Uses_IntelliJ,Uses_Komodo,Uses_Light Table,Uses_NetBeans,Uses_Notepad++,Uses_PHPStorm,Uses_PyCharm,Uses_RStudio,Uses_RubyMine,Uses_Sublime Text,Uses_TextMate,Uses_Vim,Uses_Visual Studio,Uses_Visual Studio Code,Uses_Xcode,Uses_Zend,DevType_Data scientist,DevType_Database administrator,DevType_Desktop applications developer,DevType_DevOps specialist,DevType_Developer with a statistics or mathematics background,DevType_Embedded applications/devices developer,DevType_Graphic designer,DevType_Graphics programming,DevType_Machine learning specialist,DevType_Mobile developer,DevType_Other,DevType_Quality assurance engineer,DevType_Systems administrator,DevType_Web developer,IsImportantBenefit_Annual bonus,IsImportantBenefit_Charitable match,IsImportantBenefit_Child/elder care,IsImportantBenefit_Education sponsorship,IsImportantBenefit_Equipment,IsImportantBenefit_Expected work hours,IsImportantBenefit_Health benefits,IsImportantBenefit_Long-term leave,IsImportantBenefit_Meals,IsImportantBenefit_None of these,IsImportantBenefit_Other,IsImportantBenefit_Private office,IsImportantBenefit_Professional development sponsorship,IsImportantBenefit_Remote options,IsImportantBenefit_Retirement,IsImportantBenefit_Stock options,IsImportantBenefit_Vacation/days off,Gender_Female,Gender_Gender non-conforming,Gender_Male,Gender_Other,Gender_Transgender,Race_Black or of African descent,Race_East Asian,Race_Hispanic or Latino/Latina,Race_I don’t know,Race_I prefer not to say,Race_Middle Eastern,"Race_Native American, Pacific Islander, or Indigenous Australian",Race_South Asian,Race_White or of European descent,Uses_StackOverflow_in_Android app,Uses_StackOverflow_in_Android browser,Uses_StackOverflow_in_Desktop,Uses_StackOverflow_in_Other phone browser,Uses_StackOverflow_in_iOS app,Uses_StackOverflow_in_iOS browser,MetricAssess__Benchmarked product performance,MetricAssess__Bugs found,MetricAssess__Commit frequency,MetricAssess__Customer satisfaction,MetricAssess__Hours worked,MetricAssess__Lines of code,MetricAssess__Manager's rating,MetricAssess__On time/in budget,MetricAssess__Other,MetricAssess__Peers' rating,MetricAssess__Release frequency,MetricAssess__Revenue performance,MetricAssess__Self-rating,Education_Bootcamp,Education_Coding competition,Education_Hackathon,Education_Industry certification,Education_On-the-job training,Education_Online course,Education_Open source contributions,Education_Part-time/evening course,Education_Self-taught
34,"Yes, I program as a hobby",Croatia,"Yes, full-time",Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",7 to 8 years,1 to 2 years,,10.0,8.0,,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",1.0,Between 1 and 2 years ago,Important,Important,Important,Important,Important,Important,Important,Very important,Important,Somewhat important,Important,Very important,Not at all important,Somewhat important,Important,LinkedIn,"I completed a major project, assignment, or contract",I was contacted directly by someone at the company (e.g. internal recruiter),Very important,Somewhat important,Important,Not very important,Somewhat important,Important,Important,Somewhat important,Not very important,Very important,Euros (€),Somewhat underpaid,Spaces,Not very important,Trade book; Textbook; Stack Overflow Q&A; Stack Overflow Docs; Company internal community,Get a job as a QA tester; Take online courses; Participate in online coding competitions; Buy books and work through the exercises,7:00 AM,,,Keep the room absolutely quiet,Pair; Kanban,Team Foundation Server,Multiple times a day,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,,,,,,,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",10.0,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Disagree,Strongly disagree,Strongly disagree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Strongly disagree,A master's degree,Disagree,Agree,Strongly disagree,Agree,14838.7096774194,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1
75,"Yes, both",France,No,Employed full-time,Master's degree,Mathematics or statistics,Never,500 to 999 employees,"Privately-held limited company, not in startup mode",20 or more years,16 to 17 years,,6.0,2.0,Strongly agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Somewhat agree,Disagree,Agree,"I'm not actively looking, but I am open to new opportunities",2.0,Less than a year ago,Important,Important,Important,Important,Important,Important,Important,Somewhat important,Important,Important,Somewhat important,Important,Somewhat important,Somewhat important,Somewhat important,,,,,,,,,,,,,,Euros (€),Somewhat underpaid,Tabs,Somewhat important,Official documentation; Trade book; Stack Overflow Q&A; Stack Overflow Docs; Company internal community; Tutoring/mentoring; Built-in help,,9:00 AM,,Hadoop; React,Turn on some music,Waterfall; Agile; Lean; Scrum; Extreme; Pair; Kanban,Subversion,Multiple times a day,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Disagree,Disagree,,,,,,,,,,,,,,,,,,I have created a CV or Developer Story on Stack Overflow,9.0,Several times,Several times,Once or twice,Several times,Several times,Haven't done at all,Once or twice,Haven't done at all,Somewhat agree,Disagree,Disagree,Agree,Agree,Agree,Somewhat agree,Disagree,A master's degree,Disagree,Agree,Disagree,Agree,46236.559139784906,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
83,"Yes, both",United States,No,Employed full-time,Doctoral degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,20 or more years,,Back-end Web developer,6.0,5.0,Agree,Agree,Somewhat agree,Disagree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly agree,Somewhat agree,Agree,I am actively looking for a job,6.0,Less than a year ago,Somewhat important,Somewhat important,Important,Very important,Important,Very important,Important,Important,Somewhat important,Not very important,Somewhat important,Important,Not very important,Somewhat important,Important,,,,,,,,,,,,,,U.S. dollars ($),Greatly underpaid,Spaces,Very important,Official documentation; Trade book; Built-in help; Other,,10:00 AM,AngularJS; Hadoop; Node.js; React,AngularJS; Node.js,Keep the room absolutely quiet,Waterfall; Agile; Lean; Scrum; Pair; Kanban; Evidence-based SWE,Git,Multiple times a day,Agree,Somewhat agree,Disagree,Somewhat agree,Agree,Disagree,Strongly agree,,,,,,,,,,,,,,,,,,I have created a CV or Developer Story on Stack Overflow,10.0,Once or twice,Haven't done at all,Once or twice,Haven't done at all,Several times,Haven't done at all,At least once each day,Once or twice,Somewhat agree,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Somewhat agree,A doctoral degree,Agree,Somewhat agree,Disagree,Agree,165000.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1
104,No,Brazil,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees",Government agency or public school/university,14 to 15 years,12 to 13 years,,6.0,6.0,,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",1.0,Between 2 and 4 years ago,Not at all important,Somewhat important,Somewhat important,Not at all important,Important,Important,Very important,Important,Very important,Somewhat important,Somewhat important,Very important,Not at all important,Not very important,Important,,,,,,,,,,,,,,Brazilian reais (R$),Somewhat underpaid,Spaces,Not very important,Official documentation; Trade book; Non-Stack online communities,,8:00 AM,,AngularJS; Node.js; React; .NET Core,Turn on some music,Waterfall; Agile; Scrum; Kanban,Subversion,Multiple times a day,Agree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Very satisfied,Not very satisfied,Satisfied,Very satisfied,Not very satisfied,Very satisfied,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8.0,Several times,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,,,,Disagree,Agree,Agree,Somewhat agree,,A bachelor's degree,Somewhat agree,Agree,Disagree,Strongly agree,17515.923566879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1
134,"Yes, both",United States,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,Publicly-traded corporation,17 to 18 years,14 to 15 years,,8.0,7.0,,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",2.0,More than 4 years ago,Important,Somewhat important,Somewhat important,Somewhat important,Important,Somewhat important,Somewhat important,Important,Important,Somewhat important,Somewhat important,Important,Somewhat important,Very important,Somewhat important,LinkedIn,I received bad news about the future of my company or depart,"A friend, family member, or former colleague told me",Somewhat important,Important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,Very important,U.S. dollars ($),Neither underpaid nor overpaid,Both,Somewhat important,Stack Overflow Q&A; Non-Stack online communities; Built-in help,,9:00 AM,,AngularJS; Node.js; Xamarin; .NET Core,Turn on some music,Agile; Domain-driven design,Mercurial,Multiple times a day,Somewhat agree,Somewhat agree,Disagree,Agree,Agree,Disagree,Somewhat agree,,,,,,,,,,,,,,,,,,I have created a CV or Developer Story on Stack Overflow,9.0,At least once each week,Once or twice,Once or twice,Once or twice,Several times,Haven't done at all,Once or twice,Haven't done at all,Disagree,Disagree,Disagree,Somewhat agree,Agree,Strongly agree,Agree,Disagree,"Some college/university study, no bachelor's degree",Somewhat agree,Somewhat agree,Disagree,Agree,92500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1
143,"Yes, both",United Kingdom,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Never,Fewer than 10 employees,"Privately-held limited company, not in startup mode",12 to 13 years,1 to 2 years,,5.0,4.0,Strongly agree,Strongly agree,Strongly agree,Disagree,Somewhat agree,Disagree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",2.0,Less than a year ago,Important,Important,Somewhat important,Somewhat important,Not very important,Important,Somewhat important,Important,Important,Somewhat important,Important,Very important,Not very important,Somewhat important,Important,,,,,,,,,,,,,,British pounds sterling (£),Somewhat underpaid,Tabs,Important,Official documentation; Stack Overflow Q&A; Built-in help,,9:00 AM,Hadoop; .NET Core,Xamarin; .NET Core,Turn on some music,Agile; Lean; Scrum; Extreme; Pair,Git,Multiple times a day,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Disagree,Somewhat agree,,,,,,,,,,,,,,,,,,"I've visited Stack Overflow, but haven't logged in/created an account",8.0,At least once each week,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,A bachelor's degree,Somewhat agree,Somewhat agree,Disagree,Strongly agree,43750.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
158,"Yes, I contribute to open source projects",France,No,Employed full-time,Master's degree,Computer science or software engineering,It's complicated,10 to 19 employees,I don't know,18 to 19 years,10 to 11 years,Back-end Web developer,9.0,7.0,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Disagree,Agree,Agree,Somewhat agree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",1.0,Between 2 and 4 years ago,Not very important,Somewhat important,Somewhat important,Somewhat important,Important,Important,Important,Important,Somewhat important,Not very important,Important,Very important,Somewhat important,Somewhat important,Not very important,,,,,,,,,,,,,,Euros (€),Neither underpaid nor overpaid,Spaces,Somewhat important,Official documentation; Trade book; Stack Overflow Q&A; Non-Stack online communities; Friends network; Built-in help,,10:00 AM,,,Turn on some music,Agile; Scrum; Pair; Kanban,Git,Multiple times a day,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,,,,,,,,,,,,,,,,,,I have created a CV or Developer Story on Stack Overflow,8.0,At least once each week,Several times,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Disagree,Disagree,Disagree,Somewhat agree,Agree,Disagree,Disagree,"Some college/university study, no bachelor's degree",Somewhat agree,Agree,Disagree,Agree,46236.559139784906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1
192,No,Canada,No,Employed full-time,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,Venture-funded startup,16 to 17 years,10 to 11 years,Full stack Web developer,6.0,4.0,,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",0.0,Between 2 and 4 years ago,Important,Somewhat important,Not at all important,Very important,Very important,Important,Important,Important,Important,Important,Somewhat important,Important,Not at all important,Somewhat important,Somewhat important,,,,,,,,,,,,,,Canadian dollars (C$),Somewhat underpaid,Spaces,Somewhat important,Official documentation; Other,,8:00 AM,,React,Turn on some music,Agile; Lean; Scrum; Extreme; Pair; Kanban; Domain-driven design,Git,Multiple times a day,Agree,Somewhat agree,Disagree,Disagree,Somewhat agree,Disagree,Disagree,Satisfied,Satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,A lot of influence,No influence at all,No influence at all,Not much influence,Not much influence,Not much influence,No influence at all,Not much influence,Not much influence,No influence at all,Not much influence,I have created a CV or Developer Story on Stack Overflow,8.0,At least once each week,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Once or twice,Once or twice,Haven't done at all,Disagree,Strongly disagree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,A doctoral degree,Somewhat agree,Disagree,Strongly disagree,Strongly agree,87121.2121212121,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1
198,"Yes, both",United States,No,Employed full-time,Master's degree,Computer engineering or electrical/electronics engineering,All or almost all the time (I'm full-time remote),"10,000 or more employees",Publicly-traded corporation,20 or more years,15 to 16 years,,8.0,7.0,,,,,,,,,,,,,,,,,,I am actively looking for a job,4.0,Between 2 and 4 years ago,Important,Important,Important,Important,Very important,Important,Important,Important,Very important,Very important,Somewhat important,Somewhat important,Important,Somewhat important,Important,,,,,,,,,,,,,,U.S. dollars ($),Somewhat underpaid,Tabs,Somewhat important,Official documentation; Stack Overflow Q&A; Non-Stack online communities; Friends network; Built-in help,,3:00 PM,,,Turn on some music,,Git,A few times a week,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Disagree,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Somewhat satisfied,I am the final decision maker,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,I have created a CV or Developer Story on Stack Overflow,9.0,Once or twice,Haven't done at all,Once or twice,Haven't done at all,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Somewhat agree,Disagree,High school,Somewhat agree,Agree,Disagree,Agree,146000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
247,"Yes, I contribute to open source projects",Greece,"Yes, full-time",Employed full-time,Master's degree,Computer engineering or electrical/electronics engineering,A few days each month,100 to 499 employees,Government agency or public school/university,6 to 7 years,3 to 4 years,,6.0,6.0,,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",2.0,Not applicable/ never,Important,Very important,Somewhat important,Important,Important,Important,Very important,Somewhat important,Very important,Important,Important,Important,Somewhat important,Important,Important,LinkedIn,A recruiter contacted me,"A friend, family member, or former colleague told me",Important,Very important,Somewhat important,Somewhat important,Somewhat important,Important,Very important,Not very important,Not very important,Important,Euros (€),Somewhat overpaid,Tabs,Important,,,10:00 AM,,,Turn on some music,Pair,Git,Multiple times a day,Agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Strongly disagree,Agree,,,,,,,,,,,,,,,,,,"I've visited Stack Overflow, but haven't logged in/created an account",8.0,At least once each day,At least once each week,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Disagree,Disagree,Somewhat agree,Agree,Strongly agree,Agree,Disagree,Primary/elementary school,Agree,Agree,Disagree,Strongly agree,2150.5376344086,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0
